term,tag
ambiguities,NNS
ambassador,NN
amending,VBG
amplifying,VBG
amplifier,NN
amelia's,NP$
amiss,JJ
amadee's,NP$
amplified,VBN
amusingly,RB
amplification,NN
amalgamation,NN
ambushed,VBN
amaze,VB
ambrose,NP
ambiguity,NN
amorous,JJ
amended,VBD
ample,JJ
ama,NP
amenable,JJ
amorphous,JJ
amy,NP
amazon,NP
ambition,NN
amp,NN
amply,RB
amt,FW-NN
american's,NP$
amoral,JJ
amanuensis,NN
ambling,VBG
amos,NP
ambassador-designate,NN-TL
amendment,NN
amicably,RB
ambiance,NN
amorphously,RB
ambassadors,NNS
amicable,JJ
amalgamated,VBN
america's,NP$
ammoniac,JJ
ambitions,NNS
amicam,FW-NN-TL
ambled,VBD
ammunition,NN
amounting,VBG
amen,UH
amateurs,NNS
amory,NP
amenitskii,NP
amazement,NN
ambler,NP
amado,NP
americas,NPS
amount,VB
amusedly,RB
amulets,NNS
amatory,JJ
ammo,NN
amber,JJ
among,IN
ambulances,NNS
americana,NP
amounted,VBN
amorist,NN
ameaux,NP
ambushes,NNS
amateurishness,NN
americans,NPS
ambidextrous,JJ
amsterdam,NP
amino,NN
amigo,FW-NN
american-trained,JJ
amazingly,RB
amidst,IN
amplifiers,NNS
amphetamines,NNS
amassing,NN
amateur,NN
amines,NNS
amendment's,NN$-HL
amity,NN
amongst,IN
ambulatory,JJ
amateurish,JJ
amadee,NP
amplify,VB
amaral,NP
amide,NN
amend,VB
amra,NP
amethystine,NN
amplitude,NN
amass,VB
ambitiously,RB
american-negro,NP-TL
amazons,NNS
amphibology,NN
am,BEM
amphitheater,NN
amphibious,JJ
amendments,NNS
ambush,VB
amorality,NN
amounts,NNS
ambrosial,JJ
ambassador's,NN$
american-jewish,JJ
amputated,VBN
amazing,JJ
amusing,JJ
ambitious,JJ
amulet,NN
ambuscade,NN
amiable,JJ
ammonium,NN
amortization,NN
america,NP
amusement,NN
ambivalent,JJ
amonasro,NP
ambiguous,JJ
ambassador-at-large,NN-TL
amortize,VB
amid,IN
amuse,VB
amici,FW-NNS
amused,VBD
ambivalence,NN
amis,NP
ambulance,NN
american,JJ
amusements,NNS
amazed,VBD
