term,tag
platform-controller,NN
planed,VBN
planeload,NN
pleasingly,QL
pleases,VBZ
plasm,NN
plain-clothesmen,NNS
plenary,JJ-TL
playful,JJ
planning,VBG
plaintiff's,NN$
plagued,VBD
playtime,NN
plight,NN
plucked,VBD
player's,NN$
playhouse,NN-TL
planter,NN
platonism,NP
platonist,NP
pledged,VBN
plutarch,NP
plunderers,NNS
plumb,NN
plumed,VBN
plee-zing,NP
platform,NN
plainfield,NP
planted,VBD
plateau,NN
pleasing,JJ
plasma,NN
pledges,NNS
plump,JJ
plate,NN
pleads,VBZ
planetary,JJ
pleading,VBG
planetoid,NN
plenipotentiary,NN
plaster,NN
plato,NP
platonica,FW-JJ-TL
players',NNS$
place-kicking,NN
plato's,NP$
placid,JJ
plunking,VBG
plasters,NNS
plundering,NN
plant's,NN$
plaster-of-paris,NN
plebian,JJ-HL
plain-out,RB
pleasures,NNS
play's,NN$
plumpness,NN
plush,NN
played-out,JJ
plastically,RB
plainview,NP
plopped,VBD
plank,NN
pleasin',VBG
pleas,NNS-TL
place-name,NN
plows,NNS
pledge,NN
pliny's,NP$
plaid,NN
plant,NN
platters,NNS
plausible,JJ
platforms,NNS
plead,VB
pl.,NN-TL
planters,NNS
pleasure-boat,NN
plays,VBZ
playwright-director,NN
plasticity,NN
play-acting,VBG
please,UH
plummeting,VBG
pleased,VBN
planoconcave,JJ
playground,NN-TL
playa,NP
plan's,NN$
plantain,NN
pleasantness,NN
plotting,VBG
playmates,NNS
plunkers,NNS
plant-location,NN
platitudinous,JJ
plucking,VBG
pluck,NN
pleasant,JJ
planters',NNS$
plastisols,NNS
plea,NN
plots,NNS
plowing,VBG
plodded,VBN
plug,NN
plywood,NN
planner,NN
plum,NN
plaza,NN-TL
plugugly,NN
plain-spoken,JJ
plunging,VBG
players,NNS
place,NN
planned,VBN
plume,NN
plotted,VBN
plowman's,NN$-TL
playwright,NN
platonic,JJ
pluralism,NN
plainly,RB
plainest,JJT
plinking,VBG
playoff,NN
pliant,JJ
pliers,NNS
plympton,NP
plugs,NNS
plummer,NP
platinum,NN
plot,NN
plow,VB
playwrights,NNS
platoon,NN
plod,VB
playboy-show-biz,NP-TL
placing,VBG
playroom,NN
plastic,NN-TL
plentiful,JJ
plains,NNS
planeten,FW-NNS-TL
plastics,NNS-TL
playwriting,NN
pleasantly,RB
plasterer,NN
playable,JJ
plantings,NNS
playboy,NN
plebeian,JJ
plenitude,NN
placentia,NP
plazas,NNS
placeless,JJ
plexiglas,NP
playmate,NN
plazek,NP
plague,VB
plantations,NNS-TL
play-girl,NN
plants,NNS
plastering,NN
plaintive,JJ
places,NNS
planetarium,NN
plain,JJ
plowed,VBN
plunged,VBD
planet,NN
placed,VBD
plymouth,NP
planer,NN
planes,NNS
plaintiffs,NNS
plunges,VBZ
planar,JJ
plus,CC
played,VBN
planking,NN
placating,VBG
playbacks,NNS
playes,NNS-TL
player,NN
plunge,VB
planets,NNS
pluralistic,JJ
plastered,VBN
plaques,NNS
planting,VBG
plastic-covered,JJ
place-names,NNS
pleural,JJ
plasti-bars,NPS
plated,VBN
plugged,VBD
plagiarism,NN
plaintiff,NN
playback,NN
plantation,NN
plumped,VBD
plates,NNS
playhouses,NNS-TL
playin',VBG
plowshares,NNS
play,NN
plans,NNS
plaids,NNS
plath,NP
pleader,NN
plugging,VBG
plunder,NN
plane,NN
plan,NN
plenty,NN
planners,NNS
platoons,NNS
pleaded,VBD
pleura,NN
place-kicker,NN
play-off,NN
plus-one,JJ
plumber,NN
placement,NN
pliable,JJ
plainclothes,NNS
plodding,VBG
platted,VBN
playing,VBG
planetoids,NNS
pleats,NNS
plumbed,VBD
planet's,NN$
pleasance,NN
plied,VBD
plumbing,NN
pleasure,NN
platter,NN
planks,NNS
plaque,NN
