term,tag
cease-fire,NN
cession,NN
ceases,VBZ
certification,NN
ceramic,JJ
celebrities,NNS
centralized,VBD
ceased,VBD
cezanne's,NP$
cease,VB
century-fox,NP-TL
centralizing,VBG
cervetto,NP
centers,VBZ
cellophane,NN
certainly,RB
cemetery,NN
celery,NN
celie,NP
cerise,NP
celia,NP
cezanne,NP
cell-free,JJ
centrally,RB
cerebellum,NN
centenary,NN
cecilia,NP
cerebrated,VBN
ceasing,VBG
ceil,NP
cedar,NP-TL
cellular,JJ
celebrate,VB
cennini,NP
celerity,NN
center's,NN$
celebrity,NN
ceaseless,JJ
ceecee,NP
ceremonially,RB
ceremoniously,RB
centrifuging,VBG
ceremonial,JJ
cetera,FW-NNS
cemal,NP
celebrating,VBG
cemented,VBN
centredale,NP
centrifugation,NN
centering,VBG
cen-tennial,NN-TL
cerebral,JJ
centimeter,NN
celebrated,VBN
cement-and-glass,JJ
cell,NN
ceylon,NP
cellist,NN-TL
certificates,NNS
celebes,NP-TL
centerline,NN
celebrates,VBZ
central-city,NN
celluloses,NNS
cestre,NP
centric,JJ
center-punch,VB
certifies,VBZ
cellulose,NN
cepheus,NP
cement,NN
censorship,NN
cedric,NP
certified,VBN
celebration,NN
census,NN-TL
central,JJ
certainty,NN
cedar-roofed,JJ
cerv,NP
cervantes,NP
cessation,NN
celebrants,NNS
cellars,NNS
centrist,NN
celebrations,NNS
centrale,FW-JJ-TL
centum,NN
central's,NN$-TL
celso,NP
certifying,VBG
certitudes,NNS
centrifuge,NN
certificate,NN
certify,VB
cent,NN
centrality,NN-TL
certiorari,NN
cesare,NP
ceartaine,JJ
ceiling,NN
centered,VBD
cereal,NN
censored,VBN
ceremonies,NNS
ceramics,NN
cervelat,NN
celie's,NP+HVZ
censuses,NNS
ceteras,FW-NNS
cedvet,NP
centralia,NP
cells,NNS
centrifugal,JJ-HL
celiac,JJ
ceilings,NNS
centigrade,NP
cerulean,JJ
centralization,NN
cents-per-hour,JJ
celestial,JJ
cereals,NNS
century,NN
cents,NNS
certain,JJ
censors,VBZ
centrifuged,VBN
centennial,NN-TL
cennino,NP
cervantes',NP$
cecil,NP
ceremony,NN
censorial,JJ
ceaselessly,RB
cesium-137,NN
centimeters,NNS
cellar,NN
centuries,NNS
centre,NN
censure,NN
cezannes,NPS
censures,NNS
celtic,JJ
centimeter-,NN
center,NN
center-fire,NN
censured,VBD
centuries-old,JJ
