term,tag
ambiguities,NNS
ambassador,NN
amending,VBG
amplifying,VBG
amplifier,NN
amelia's,NP$
amiss,JJ
amadee's,NP$
amplified,VBN
amusingly,RB
american-style,JJ
amplification,NN
amalgamation,NN
ambushed,VBN
amaze,VB
ambrose,NP
ambiguity,NN
amorous,JJ
amended,VBN
ample,JJ
ama,NP
amenable,JJ
amorphous,JJ
amy,NP
amazon,NP
ambition,NN
amp,NN
amply,RB
amr,NNP
amt,FW-NN
american's,NP$
amoral,JJ
amanuensis,NN
ambling,VBG
amos,NP
amphobiles,NNS
ambassador-designate,NN-TL
amendment,NNP
amicably,RB
ambiance,NN
amorphously,RB
ambassadors,NNS
amicable,JJ
amalgamated,VBN
america's,NP$
ammoniac,JJ
ambitions,NNS
amicam,FW-NN-TL
ambled,VBD
ammunition,NN
amounting,VBG
amen,UH
amateurs,NNS
amory,NP
amenitskii,NP
amazement,NN
ames,NNP
ambler,NP
amado,NP
americas,NPS
amount,NN
amusedly,RB
amulets,NNS
amatory,JJ
ammo,NN
amber,JJ
among,IN
ambulances,NNS
americana,NNS
amounted,VBD
amorist,NN
ameaux,NP
ambushes,NNS
amateurishness,NN
americans,NNPS
ambidextrous,JJ
amsterdam,NNP
amino,NN
amigo,FW-NN
american-trained,JJ
amazingly,RB
amidst,IN
amplifiers,NNS
amphetamines,NNS
amassing,NN
amateur,NN
amines,NNS
amendment's,NN$-HL
amity,NN
amongst,IN
ambulatory,JJ
amin,NNP
amateurish,JJ
amadee,NP
amplify,VB
american-made,JJ
amaral,NP
amide,NN
amend,VB
amra,NP
amethystine,NN
amplitude,NN
amass,VBP
ambitiously,RB
american-negro,NP-TL
amazons,NNS
amphibology,NN
am,VBP
amphitheater,NN
amphibious,JJ
amendments,NNS
ambush,VB
amorality,NN
amounts,VBZ
ambrosial,JJ
ambassador's,NN$
american-jewish,JJ
amputated,VBN
amazing,JJ
amusing,JJ
ambitious,JJ
amulet,NN
ambuscade,NN
amiable,JJ
ammonium,NN
amps,NNS
amortization,NN
america,NNP
amusement,NN
ambivalent,JJ
amonasro,NP
ambiguous,JJ
ambassador-at-large,NN-TL
amortize,VB
amid,IN
amuse,VB
amici,FW-NNS
amused,VBD
ambivalence,NN
amis,NP
ambulance,NN
american,NNP
amusements,NNS
amazed,VBD
